"filename", "language", "Django HTML", "Less", "Markdown", "comment", "blank", "total"
"g:\ToyEmpires\ToyEmpires\ToyEmpiresDocuments\设计文档\Base.html", "Django HTML", 1163, 0, 0, 0, 98, 1261
"g:\ToyEmpires\ToyEmpires\ToyEmpiresDocuments\设计文档\Base.md", "Markdown", 0, 0, 279, 0, 110, 389
"g:\ToyEmpires\ToyEmpires\ToyEmpiresDocuments\设计文档\my-style.less", "Less", 0, 19, 0, 0, 3, 22
"g:\ToyEmpires\ToyEmpires\ToyEmpiresDocuments\设计文档\建筑\0.html", "Django HTML", 1987, 0, 0, 0, 140, 2127
"g:\ToyEmpires\ToyEmpires\ToyEmpiresDocuments\设计文档\建筑\0.md", "Markdown", 0, 0, 625, 0, 209, 834
"Total", "-", 3150, 19, 904, 0, 560, 4633
